title,img,type,netflix_id,synopsis,rating,year,runtime,imdb_id,poster,top250,top250tv,title_date
Marjoun and the Flying Headscarf,https://occ-0-34-32.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZnMg11AstP-U-qq25Jv6ssZjMK32WbUn2lU8VlHoLpTfXU9Lkxfd_8BWBxeOx2rbjtAdkDoVecMoYhygTaVwBNUbA.jpg?r=a3d,movie,81520451,"Following her dad‘s detainment on dubious terror charges, a Lebanese-American teen navigates her identity in Arkansas with a motorcycle and a headscarf.",9,2019,4818,tt10399342,https://m.media-amazon.com/images/M/MV5BYmYzZGE2YmUtOGZjMS00N2FhLWI3ZGItYzgzNDdhY2JiZWMyXkEyXkFqcGdeQXVyMjMyNzc0MzU@._V1_SX300.jpg,0,0,9/12/21
Mistakes,https://occ-0-5098-1490.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABUM4M7hfXraI9qFC9ivUY0UzSAxC-GDepC_So5p4cTtcQaw16hmEI_kIthnMA7-Z9bISiquwHmV93kSJLIt-pM6aw_b6Cu6AVXV_AhTvODyHHrg.jpg?r=450,movie,81573627,The blossoming relationship between a small-town salesperson and a village roofer hits a roadblock when a buried secret comes to the surface.,9,2021,5964,tt6840340,https://m.media-amazon.com/images/M/MV5BMWVlYzFiMjEtOGJmZC00YTMxLWEzZDktN2ZiY2Y0MWU0M2FjXkEyXkFqcGdeQXVyNTQzNjM3ODA@._V1_SX300.jpg,0,0,16/4/22
Not Me,https://occ-0-2616-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY2FeTojoqWXJjmDL2HhqnOGJJTAg7vb7IrRVl3FJdNKukpspq5qwRw91HZR26HMWHjQZ6nPOYCnDbJCLPh41yjavaJpq0I5RA.jpg?r=28f,movie,81367044,"After mysteriously losing control of his hand, a man struggles to explain his bizarre actions to his skeptical friends and family.",9,2020,5623,tt13661118,https://m.media-amazon.com/images/M/MV5BZDY3ZWIzMTEtMTkwYi00ZjgyLTk1OTQtMjYxNTAyNDhlMGZiXkEyXkFqcGdeQXVyNTkzNjEwMjI@._V1_SX300.jpg,0,0,1/9/22
Krishna Vrinda Vihari,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/oQyw8Fv9eE41UPapt7zHvdUdzrE/AAAABQrX74IyoMAksaofwrc9Xm-3OrHW-yP-sOKX6--a3P57GF7qpysisOgyPAICaIeaKkaSjHlZFSYPeeQbuwq4GrCITN3p6yG4tQ.jpg?r=5d8,movie,81605073,The son of a deeply religious and traditional family tells an elaborate lie to win their permission to marry a woman who cannot have children.,9,2022,8328,tt19893706,https://m.media-amazon.com/images/M/MV5BNjMyYmI4ODItMzE3NS00ZDMwLThjODQtZTI5ZjFhZDdiZDNjXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_SX300.jpg,0,0,23/10/22
Padavettu,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/oQyw8Fv9eE41UPapt7zHvdUdzrE/AAAABUODTxge4D8xxbC_0g17NY-LLZsT6j0N8fMf2eseDiWnWHnxk_ZbFJ3zq-CU39TX6DRMJYVlpjVw1p5yUNigh58Ym9otmMgaVA.jpg?r=c7a,movie,81602975,"In North Kerala, the people of a small village are torn between oppression and their aspirations until a young man sets out to fight for their freedom.",9,2022,8546,tt10518176,https://m.media-amazon.com/images/M/MV5BMTg3YjA0ZDAtNGFhOS00ZTA5LTk5MGUtZmM3MDhlOWQxYWE1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,0,0,25/11/22
Mehandi Circus,http://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfc0hi1P-GW__9P09LuSn75z9UmQV54yo-3E0VnwUOPuYJO1uq6nuS4oKf_ieMiv84kZaW8p9bf1yWfea-UikTfO2w.jpg?r=b43,movie,81177371,"In the early 1990s, the love between a cassette shop owner and a traveling circus performer challenges caste barriers and disapproving parents.",8.9,2019,7563,tt9665400,https://m.media-amazon.com/images/M/MV5BMjViYjJlOTgtYzdlYi00OWY1LTllMzItNjk1OWE0MWUyNDRhXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,0,0,30/10/19
Thimmarusu,https://occ-0-3607-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTs8HZUiWZjndeC4xXMMDaKqRzRir6FbRN06zOdfqEow7dP56ybXS3h7W2-kx6Azf29Z3tSN25AQyv5yhy-TK11f0g.jpg?r=2ac,movie,81473277,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",8.9,2021,7470,tt13310936,https://m.media-amazon.com/images/M/MV5BZjk3NWNkN2YtNzM3Zi00ZDk4LTg2YjgtMDUzYjhjZWMzZjcyXkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_SX300.jpg,0,0,28/8/21
Tsunami Killed My Bandmates,https://occ-0-4992-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWRFwXtJIdfkwXo4d7ulJhiu-54xi1_LJDo7yJ6Qw8LvD62E1AIwAKqEzTBDb5UbhWuSucCUhNSTmPdBY7ehOTufCw.jpg?r=de0,movie,81473343,Interviews and behind-the-scenes footage recount a deadly tsunami that caused the deaths of members of the Indonesian band Seventeen.,8.9,2020,5825,tt12464446,https://m.media-amazon.com/images/M/MV5BNDAzNjgwN2UtNjQzMS00M2UyLWI3YjYtZTE2NDdiNGQyN2IxXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_SX300.jpg,0,0,16/12/21
Recurrence,https://occ-0-2851-3996.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYCgOW_eMInoBj6wIGV87SPYGA_Oq4k0j_rOltoSHXInBcUf4FAkvrD65Q3uLXdb9t9zgcI79lof7arBDnCX9Gb6tcYU-v7n1Q2Z-w4k1w6xZFyW5-YLGvWOhCQ8QKE2rN4.jpg?r=41c,movie,81259570,"Years after moving to a remote town, ex-cop Pipa is pulled back into the dark world she thought she'd left behind when she gets tangled in a murder case.",8.9,2022,6976,tt3754658,https://m.media-amazon.com/images/M/MV5BOTUxMjU1NzM5MF5BMl5BanBnXkFtZTgwODY0MjMwNDE@._V1_SX300.jpg,0,0,28/7/22
Merku Thodarchi Malai,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWHCFuLz8jWrhYeKFbpWYhbNNThsxtNfcuV_6QZs6n8Ynvpk6C8HjkatjXB_OIwBV6C25c95s89Qr2JLlroDgq3pXQ.jpg?r=3f6,movie,81045060,"In southern India, a laborer‘s dreams of owning a piece of land to farm is complicated by political corruption.",8.8,2018,6870,tt7794052,https://m.media-amazon.com/images/M/MV5BZmIwNmEwZGEtYjgxYi00ZTMwLTkwYWUtYWEwMzg0MWU3MmFmXkEyXkFqcGdeQXVyODUzMzA4MDI@._V1_SX300.jpg,0,0,1/1/19
Sarvam Thaala Mayam (Tamil Version),https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABST5CAZ7ofonuqriyYgyeGTzY2OWFup0FawCjkW2KQCiZth3ypSQNH_oRg66ZzJtJumuHQbJSBwtbJT5VMBuDLa78g.jpg?r=433,movie,81083971,"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",8.8,2018,7841,tt7719976,https://m.media-amazon.com/images/M/MV5BNTNkNTRlNjYtM2IwMy00MGM0LTliYTMtYzY4MjM4NjQxNWQxXkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_SX300.jpg,0,0,1/3/19
Sarvam Thaala Mayam (Telugu Version),https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZK6rXrfu301hh_ENsQhMfXpKhc4-urPgHf9kQST_Si2jfXAFNF5SYNWHu6EHfq6t1_ANFFpxCNXi0X7Vga0uAk_3g.jpg?r=204,movie,81074135,"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",8.8,2018,7841,tt7719976,https://m.media-amazon.com/images/M/MV5BNTNkNTRlNjYtM2IwMy00MGM0LTliYTMtYzY4MjM4NjQxNWQxXkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_SX300.jpg,0,0,8/4/19
Sillu Karuppatti,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe5MBjyp7pc1drKomfeyUiNo-FCglFJL_0WYkTgQTf0Xp1C6JrjjAg7ggjXB_duuueN1JMGGoEwKvLJG0q3KeM6WUQ.jpg?r=c4b,movie,81218363,"From first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film.",8.8,2019,8009,tt9614988,https://m.media-amazon.com/images/M/MV5BMWQyNDRlYzctNTg2NC00ZDc5LWE5YmEtOTZlZjZlYzdjYjRlXkEyXkFqcGdeQXVyMjA4OTI5NDQ@._V1_SX300.jpg,0,0,26/1/20
Sky Tour: The Movie,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf0YHTcQ5ZbfdAYXGRs4xVxuhI5K0mmWGqkxtC1V6W712RsYMckydjZ5HT0F7sADOEuRuGWcgp9EJeHyNQRco1hJOQ.jpg?r=884,movie,81318380,"From the preparations to the performances, this documentary showcases Vietnamese pop idol S∆°n T√πng M-TP and the passion behind his Sky Tour concerts.",8.8,2020,5595,tt12486200,https://m.media-amazon.com/images/M/MV5BZWJmMzU2OGItNGRjMC00MWYxLWFkMTQtMDdlNWEyMjA2MmU5XkEyXkFqcGdeQXVyNDc0Njc1NTY@._V1_SX300.jpg,0,0,2/9/20
Ejen Ali The Movie,https://occ-0-58-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX6DDrbvAhDpkkodfshKqYy6WuZQzsv_0nx0bzY5nJWe21PVgy9Qc4wdxCxKoRtKRcggVmOWtUEBXKAOPRMOJhUlgg.jpg?r=406,movie,81277553,"As MATA seeks to upgrade its gadget for all agents, Ali embarks on a mission to stop a plot against Cyberaya but begins to question his loyalty.",8.8,2019,5828,tt9020536,https://m.media-amazon.com/images/M/MV5BZjU1NGVkYzQtNGRhYS00YWE4LWE2MGItZjhjN2EyZDYzN2M3XkEyXkFqcGdeQXVyODk1NzMxOTE@._V1_SX300.jpg,0,0,12/12/20
Come and See,https://occ-0-4992-58.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABd6BHmZ6_cppvdpAQW661ZKchY1vvzIpbMbztcVUsVXd_3ZTt6-ApuqD1rslSOq94ptWYq7lgo5lEB5tTIjDXB61eA.jpg?r=d1d,movie,81471867,"Politics and faith clash in this documentary about Dhammakaya, a controversial Buddhist temple whose abbot was charged with financial crimes.",8.8,2021,5075,tt10985730,https://m.media-amazon.com/images/M/MV5BOGM3ZDlkYjEtNzVjYi00ZGU2LWJmY2YtYjhjYWZmNDE5NDMyXkEyXkFqcGdeQXVyMjMxNTgwMDA@._V1_SX300.jpg,0,0,1/8/21
Serendip,https://occ-0-1698-1348.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeGAsdOorGKv2k2UUNkFEhKLeD8xuRd_jSTcb2og7qUNRcphj9-GLWrsXWdQrYbYQt-Q9YPakKeGaBqWfaxxSPeWXg.jpg?r=c59,movie,81409060,"This documentary follows the two co-founders of Take Me Back, a charity that delivers school supplies to children in remote areas of Sri Lanka.",8.8,2019,4193,tt8387538,https://m.media-amazon.com/images/M/MV5BNGRlODBmNzAtOGFlMi00OGY5LWE4OTktMmIwOGM5MjRkNzYzXkEyXkFqcGdeQXVyNzk4Mjg2NTE@._V1_SX300.jpg,0,0,30/9/21
Boi,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc5AIMYv_dnveSYDCDOUej7LUy8ghYmH9aw_WxtWsd5NGVaHx93fWx3MXfRki0iYYJ8Gubyz_AWKtM6djb2dkSTw9g.jpg?r=307,movie,80173485,A young chauffeur who‘s at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.,8.7,2018,6652,tt7773766,https://m.media-amazon.com/images/M/MV5BMjdhZDgyMDAtZTc4MS00OGI5LThjNGUtNjNkMjg5NmRmZmE1XkEyXkFqcGdeQXVyNjU0NjQ5ODc@._V1_SX300.jpg,0,0,26/7/19
Evvarikee Cheppoddu,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbhDfmxTMsUy-dxiSjdUA8bEpJft2sf0VYueChcYUZMRsW5EzWLdKxMqwf1agnYBc604sDdxn1iOC7r9cssXL_96yg.jpg?r=c85,movie,81194544,"When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl‚Äôs father to let them marry.",8.7,2019,8051,tt10081202,https://m.media-amazon.com/images/M/MV5BNDFiOWIxNDYtMGYzNC00ZWU3LTllYTMtNmQ4OWFmOTE5YzEwXkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_SX300.jpg,0,0,27/11/19
